year declared physics,term declared physics,number of semesters,first phys class,year first phys class,term first phys class,first math class,year first math class,term first math class,taken mechanics,mechanics year,mechanics term,taken quantum,quantum year,quantum term,taken adv lab,adv lab first year,adv lab first term,adv lab second year,adv second term,pd 1,pd 2,pd 3,grad physics,grad year,term grad
2017,fall,9,gen phys 1,2018,spring,pre calc,2017,fall,yes,2019,fall,yes,2020,spring,yes ,2019,spring,2019,fall,no,no,no,yes,2020,fall
2015,spring,12,gen phys 1,2015,fall,pre calc,2015,spring,yes,2018,fall,yes,2019,spring,yes,2018,fall,2019,spring,N/A,N/A,N/A,yes,2020,spring
2017,fall,6,gen phys 1,2017,fall,calc 3,2017,fall,yes,2019,fall,yes,2020,spring,yes ,2019,spring,2019,fall,no,no,no,yes,2020,spring
2018,fall,6,gen phys 1,2018,fall,calc 2,2018,fall,yes,2020,fall,yes,2020,spring,yes,2020,spring,2020,fall,N/A,N/A,N/A,yes,2021,spring
2017,summer,11,gen phys 1,2018,spring,pre calc,2017,summer,no,,,yes,2021,spring,yes,2020,spring,2020,fall,n,n,n,yes,2021,summer
2018,spring,12,gen phys 1,2019,spring,college trig,2018,spring,yes,2021,fall,yes,2022,spring,yes,2020,fall,2022,spring,no,yes,yes ,yes,2022,fall
2019,fall,1,gen phys 1,2018,spring,calc 3,2016,fall,yes,2019,fall,yes,2020,spring,yes,2019,fall,2020,spring,N/A,N/A,N/A,yes,2022,spring
2020,spring,7,gen phys 1,2020,spring,calc 2,2020,spring,yes,2021,fall,yes ,2022,spring,yes,2021,fall,2022,spring,no,yes,yes,yes,2023,spring
2015,spring,11,gen phys 1 ,2015,summer,calc 1,2015,spring,yes,2018,fall,yes,2019,spring,yes,2018,spring,2018,fall,N/A,N/A,N/A,yes,2019,spring
2012,fall,4,gen phys 2,2011,spring,calc 2,2011,spring,yes,2012,fall,yes,2013,spring,yes,2012,fall,2013,spring,N/A,N/A,N/A,yes,2014,spring
2014,fall,8,gen phys 2,2014,fall,calc 3,2014,fall,yes,2016,fall,yes,2017,spring,yes,2016,spring,2017,spring,N/A,N/A,N/A,yes,2018,spring
2016,fall,7,gen phys 2,2016,fall,linear algebra,2016,fall,yes,2017,fall,yes,2018,spring,yes,2017,fall,2019,spring,N/A,N/A,N/A,yes,2019,spring
2017,fall,8,gen phys 2,2017,fall,calc 2,2017,fall,yes,2019,fall,yes,2020,spring,yes,2018,fall,2019,spring,N/A,N/A,N/A,yes,2020,fall
2017,fall,7,gen phys 2,2017,fall,calc 3,2017,fall,yes,2018,fall,yes,2019,spring,yes ,2018,fall,2019,spring,N/A,N/A,N/A,yes,2020,spring
2014,spring,7,modern physics,2014,spring,intro stats,2012,spring,yes,2015,fall,yes,2015,spring,yes,2014,fall,2015,spring,N/A,N/A,N/A,yes,2016,spring
2016,summer,9,modern physics,2015,fall,calc 2,2015,summer,yes,2016,fall,yes,2017,spring,yes,2016,fall,2017,spring,N/A,N/A,N/A,yes,2019,spring
2016,fall,6,modern physics,2016,fall,LA/DE,2017,spring,yes,2017,fall,yes,2018,spring,yes,2017,spring,2017,fall,N/A,N/A,N/A,yes,2019,spring
2019,spring,8,modern physics,2019,spring,LA/DE,2019,spring,yes,2020,fall,yes,2021,spring,yes,2020,spring,2020,fall,no,no,no,yes,2021,summer
2017,fall,6,modern physics,2017,fall,LA/DE,2017,fall,yes,2018,fall,no,,,yes,2018,spring,2018,fall,N/A,N/A,N/A,yes,2023,spring
2012,fall,9,thermal physics,2012,spring,LA/DE,2012,spring,yes,2013,fall,yes,2013,spring,yes,2013,spring,2013,fall,N/A,N/A,N/A,yes,2015,fall
2014,spring,7,vibes and waves,2014,spring,calc 3,2014,spring,yes,2014,fall,yes,2015,spring,yes,2014,spring,2015,fall,N/A,N/A,N/A,yes,2016,spring
2016,spring,4,vibes and waves,2015,fall,linear algebra,2016,spring,yes ,2016,fall,yes,2017,spring,yes,2016,spring,2016,fall,N/A,N/A,N/A,yes,2017,fall
2017,fall,5,vibes and waves,2017,fall,college algebra,2011,spring,yes,2018,fall,yes,2018,spring,yes,2017,fall,2018,spring,N/A,N/A,N/A,yes,2019,fall
2017,fall,8,vibes and waves,2017,fall,LA/DE,2017,fall,yes,2019,fall,yes,2020,spring,yes,2018,fall,2019,spring,N/A,N/A,N/A,yes,2020,fall
2017,fall,6,vibes and waves,2071,fall,differential equations,2017,fall,yes,2018,fall,yes,2019,spring,yes,2018,spring,2018,fall,N/A,N/A,N/A,yes,2020,spring
2015,fall,4,gen astro 1,2015,fall,pre calc,2015,fall,no,,,no,,,no,,,,,N/A,N/A,N/A,,,
2017,fall,,gen phys 1,2001,fall,calc 1,2017,fall,yes,2002,fall,yes ,2004,spring,yes,2003,fall,2004,spring,N/A,N/A,N/A,,,
2016,fall,6,gen phys 1,2016,fall,calc 2,2016,fall,no,,,no,,,no,,,,,yes,no,no,,,
2019,fall,5,modern physics,2019,fall,calc 3,2019,fall,yes,2022,fall,no,,,yes,2022,fall,2023,spring,n,n,n,,,
2015,fall,1,none,,,college trig,2015,fall,n,,,n,,,n,,,,,n,n,n,,,
